,Ticker,Share Reduction
141,MCD,-99.99993055528729
88,GE,-89.6986353297953
102,HLT,-72.9641693811075
13,AIG,-62.52962293522231
69,DD,-62.166305916305916
107,HWM,-61.50943396226415
71,EBAY,-61.113034802284574
130,LDOS,-60.059171597633146
25,AZO,-59.78223257745277
14,AMP,-58.53061224489796
165,ORLY,-57.220497461558125
134,LOW,-55.72876071706937
108,HPQ,-53.687177078440584
64,DFS,-52.53628326951261
76,EXPE,-51.551069848461005
152,MSI,-50.57812036762526
197,STX,-49.8812351543943
8,ALL,-49.25057647963106
160,NOC,-47.89826916283999
142,MCK,-47.65182186234818
99,HCA,-46.77337709522293
22,AIZ,-46.554414750808036
216,TRV,-45.69457659372027
133,L,-45.68762278978389
56,GLW,-45.56477345245692
168,ORCL,-45.07125890736342
186,PHM,-44.87038719275379
163,NVR,-44.46735889243877
154,NTAP,-43.973763323312376
205,SYF,-43.4685390438569
222,VLO,-42.756183745583044
29,BBY,-42.18708121147146
120,JBL,-41.931824521600056
20,APTV,-41.76720137876176
15,AMGN,-41.757049891540134
66,DPZ,-41.62045766295098
223,VRSN,-40.892699352804904
231,WTW,-40.116279069767444
30,BIIB,-39.942047171291065
114,ITW,-39.776468707440316
12,AXP,-39.61148648648649
202,STT,-39.403048392472954
233,YUM,-39.09287257019438
124,JNPR,-38.662207105918334
158,NSC,-38.33560709413369
81,FICO,-37.812908414597366
96,GS,-37.747594793435205
17,AON,-37.719037719037715
19,AMAT,-37.244511733535205
140,MAS,-37.06896551724138
104,HD,-37.02290076335878
146,MGM,-36.411956733081595
65,DG,-35.65223753914596
229,WAT,-35.05813826176451
153,MSCI,-34.54010118603301
52,C,-34.4544172770728
230,WFC,-34.39453051020794
136,LYB,-34.275618374558306
98,HIG,-33.617977528089895
145,MTD,-33.5081092288232
77,EXPD,-33.28651165727475
32,BK,-33.27521344336255
144,MET,-32.88671691880967
178,PSX,-32.5995653476263
190,RL,-32.43823845327605
188,QCOM,-32.36363636363636
209,TGT,-32.33655819407798
34,BKNG,-31.83623278972726
215,TT,-31.54078549848942
213,TXT,-31.538308960095208
62,DE,-31.410891089108905
221,UHS,-31.375003848245708
187,PWR,-31.284442361761954
42,KMX,-30.726536393210434
189,DGX,-30.17594404010795
210,TEL,-30.15873015873016
46,CE,-30.03997067346026
132,LMT,-29.788484136310224
166,OMC,-29.771265189421015
226,GWW,-29.619592894158544
41,CAH,-29.524361948955914
73,ELV,-29.00366748166259
58,CMI,-28.534571723426218
203,STLD,-28.32606037849892
176,PFE,-28.107147391138753
101,HPE,-27.494456762749444
47,COR,-27.408154937992744
110,HUM,-27.404326523733282
38,CHRW,-27.335391947092003
79,FFIV,-27.163779975982074
192,RF,-27.106518282988866
123,JPM,-26.619546425302552
181,PFG,-26.50299024236701
51,CSCO,-26.028921023359285
67,DOV,-25.951161367223996
21,ADM,-25.85949177877429
84,FOXA,-25.764895330112726
85,FOX,-25.764895330112726
91,GD,-25.29533811545246
151,MOS,-24.653349001175084
93,GM,-24.518272425249165
162,NUE,-24.352565437756024
83,FITB,-24.285140818584072
164,NXPI,-24.132125390844227
43,CAT,-24.103678410678253
74,EMR,-23.914780292942737
26,AVY,-23.841059602649008
149,MDLZ,-23.823028927963698
179,PNC,-23.664122137404576
112,IBM,-23.635251576501826
63,DAL,-23.62768496420048
82,FDX,-22.78481012658228
0,MMM,-22.197214798143193
218,ULTA,-22.156149662538493
27,BAC,-21.802592528283128
180,POOL,-21.202721426060343
212,TXN,-21.107266435986162
227,WBA,-20.762167125803487
75,EG,-20.65551889066034
177,PM,-20.633299284984673
208,TPR,-20.111257583391428
195,ROK,-20.02801120448179
150,MCO,-19.982433025911284
72,EA,-19.939577039274926
138,MAR,-19.80364656381487
115,INTC,-19.74797818318601
116,IP,-19.689958352614532
184,PRU,-19.53739052324276
127,KLAC,-19.527969091214516
117,IPG,-19.49497111063556
87,IT,-19.26354419356845
111,HII,-19.057377049180324
225,VST,-19.006403334157973
53,CFG,-18.929430045937067
217,USB,-18.665276329509904
5,AKAM,-18.186669541546507
89,GEN,-18.145695364238414
143,MRK,-17.70055212731406
95,GL,-17.679633124107674
80,FDS,-17.50135442626504
33,BA,-17.397719651240774
131,LLY,-17.189079878665314
206,SYY,-16.88837682145906
105,HON,-16.847617831140628
70,EMN,-16.785206258890472
193,RSG,-16.70371840677517
128,LH,-16.417910447761198
24,ADP,-16.396802623488416
11,MO,-16.37596899224806
55,COP,-16.24863201682262
159,NTRS,-16.112052478759832
157,NDSN,-15.922527133150977
40,COF,-15.868131868131863
4,A,-15.85014409221902
121,JKHY,-15.62214274967304
172,PH,-15.597015163295524
228,WM,-15.062407446583459
126,KMB,-15.021459227467815
161,NRG,-14.814814814814813
119,JBHT,-14.697348674337174
211,TER,-14.650146166440614
174,PYPL,-14.61412151067324
224,VRSK,-14.475431974896047
220,UNH,-14.152700186219736
182,PG,-13.856390757531445
92,GIS,-13.48973607038123
219,UPS,-13.184584178498982
207,TROW,-13.128165173354112
78,XOM,-13.096695226438193
175,PEP,-13.092979127134729
135,LULU,-13.015737686588025
198,SWKS,-12.28742567426988
122,JNJ,-12.090560525835315
60,DRI,-11.434977578475337
147,MSFT,-11.427550047664447
94,GPC,-11.270888526594657
90,GNRC,-11.02593785500996
28,BAX,-10.858143607705784
170,PKG,-10.850968032417828
232,WYNN,-10.817220434140795
199,SJM,-10.510531362896348
109,HUBB,-10.350584307178634
3,AES,-10.089399744572159
2,ADBE,-10.081269233618517
201,SWK,-9.679685811054261
200,SNA,-9.48360103232181
61,DVA,-9.395081849781207
139,MMC,-9.392265193370164
103,HOLX,-9.346715552419226
7,ALLE,-9.062499999999996
100,HES,-8.915689844114272
196,SBAC,-8.866019516075795
183,PGR,-8.587041373926619
49,CVX,-8.453707038000779
18,APA,-7.936507936507942
113,IEX,-7.676171427177603
148,MHK,-7.602764641687887
45,CDW,-7.586206896551728
57,CTVA,-7.15238857752869
169,OTIS,-7.019164165319792
39,CPB,-6.874999999999998
59,CVS,-6.814814814814818
118,INTU,-6.666666666666665
54,CLX,-6.193168040737151
68,DOW,-5.848501070663814
125,K,-5.785123966942152
23,ADSK,-5.784399649430327
36,BR,-5.497170573969279
37,BG,-5.4665386295930425
234,ZBRA,-5.374851576141904
16,ANSS,-5.140496766128599
167,ON,-3.9057239057239013
50,CINF,-3.8981135783061505
44,CBRE,-3.6034724487726044
97,HAL,-3.4896401308615044
6,ALGN,-3.4784845950987298
35,BSX,-3.446917470947408
106,HST,-3.4468552595440793
10,GOOG,-2.9548133595284853
9,GOOGL,-2.9548133595284853
1,ACN,-2.5727333673911668
137,MPC,-2.52808988764045
194,RMD,-2.3309790777170325
204,SYK,-1.8298969072164994
156,NWS,-1.6586040082930187
155,NWSA,-1.6586040082930187
129,LW,-1.6438356164383605
185,PEG,-1.5730523619502779
86,GRMN,-1.0168635454676611
31,BLK,-0.7762886325236695
171,PARA,-0.5997001499250421
173,PAYX,-0.5797901711761422
191,REG,-0.5733405466434638
48,CRL,-0.40749496255764184
214,TMO,-0.33915992695017216
